"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","FUNDING RATE","COMMISSION","CONVERSION RATE","CONVERSION FEE","PL","AMOUNT","BALANCE"
"1","2025-01-09 03:26:39 -12","CREATE","","","","","","","","","","","","","","","","",""
"2","2025-01-09 03:26:39 -12","CLIENT_CONFIGURE","","","","","","","","","","","","","","","","",""
"3","2025-01-09 03:26:41 -12","TRANSFER_FUNDS","","","","","","","","","","","","","","","","100000.00","100000.00"
"4","2025-01-17 06:47:04 -12","LIMIT_ORDER","CLIENT_ORDER","GBP/CAD","1.75800","5000.00","Buy","","1.74500","1.75900","","","","","","","","",""
"5","2025-01-17 07:00:33 -12","MARKET_ORDER","CLIENT_ORDER","NZD/JPY","","10000.00","Buy","","87.30600","87.31800","","","","","","","","",""
"6","2025-01-17 07:00:33 -12","ORDER_CANCEL","STOP_LOSS_ON_FILL_LOSS","","","","","","","","","","","","","","","",""
"7","2025-01-17 07:01:23 -12","MARKET_ORDER","CLIENT_ORDER","NZD/JPY","","10000.00","Buy","","87.30300","87.31100","","","","","","","","",""
"8","2025-01-17 07:01:23 -12","ORDER_CANCEL","STOP_LOSS_ON_FILL_LOSS","","","","","","","","","","","","","","","",""
"9","2025-01-17 07:01:44 -12","MARKET_ORDER","CLIENT_ORDER","NZD/JPY","","10000.00","Buy","","87.30000","87.31100","","","","","","","","",""
"10","2025-01-17 07:01:44 -12","ORDER_CANCEL","STOP_LOSS_ON_FILL_LOSS","","","","","","","","","","","","","","","",""
"11","2025-01-17 07:04:02 -12","MARKET_ORDER","CLIENT_ORDER","NZD/JPY","","10000.00","Sell","","87.29000","87.28000","","","","","","","","",""
"12","2025-01-17 07:04:02 -12","ORDER_CANCEL","STOP_LOSS_ON_FILL_LOSS","","","","","","","","","","","","","","","",""
"13","2025-01-17 07:04:39 -12","MARKET_ORDER","CLIENT_ORDER","NZD/JPY","","1.00","Sell","","87.29500","87.27900","","","","","","","","",""
"14","2025-01-17 07:04:39 -12","ORDER_CANCEL","STOP_LOSS_ON_FILL_LOSS","","","","","","","","","","","","","","","",""
"15","2025-01-17 07:06:22 -12","LIMIT_ORDER","CLIENT_ORDER","NZD/JPY","87.29000","10000.00","Sell","","","87.28300","","","","","","","","",""
"16","2025-01-17 07:10:02 -12","ORDER_FILL","LIMIT_ORDER","NZD/JPY","87.29300","10000.00","Sell","1.2488","","","","0.00000","","0.0000","","0.0000","0.00000","","100000.00"
"17","2025-01-17 07:10:02 -12","TAKE_PROFIT_ORDER","ON_FILL","","87.28300","","","","","","","","","","","","","",""
"18","2025-01-17 07:19:17 -12","ORDER_FILL","TAKE_PROFIT_ORDER","NZD/JPY","87.28300","10000.00","Buy","1.3763","","","","0.00000","","0.0000","0.0064","-0.0032","0.63690","","100000.64"
"19","2025-01-17 07:51:26 -12","LIMIT_ORDER","CLIENT_ORDER","NZD/JPY","87.20000","2500000.00","Sell","","","87.19200","","","","","","","","",""
"20","2025-01-17 07:51:43 -12","ORDER_FILL","LIMIT_ORDER","NZD/JPY","87.20000","2500000.00","Sell","376.1926","","","","0.00000","","0.0000","","0.0000","0.00000","","100000.64"
"21","2025-01-17 07:51:43 -12","TAKE_PROFIT_ORDER","ON_FILL","","87.19200","","","","","","","","","","","","","",""
"22","2025-01-17 08:23:15 -12","MARKET_ORDER","CLIENT_ORDER","NZD/JPY","","5000000.00","Buy","","","87.25800","","","","","","","","",""
"23","2025-01-17 08:23:15 -12","ORDER_FILL","MARKET_ORDER","NZD/JPY","87.24900","5000000.00","Buy","832.5408","","","","0.00000","","0.0000","0.0064","-3.8698","-788.43220","","99212.20"
"24","2025-01-17 08:23:15 -12","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","",""
"25","2025-01-17 08:23:15 -12","TAKE_PROFIT_ORDER","ON_FILL","","87.25800","","","","","","","","","","","","","",""
"26","2025-01-17 08:50:14 -12","ORDER_CANCEL","CLIENT_REQUEST_REPLACED","","","","","","","","","","","","","","","",""
"27","2025-01-17 08:50:14 -12","LIMIT_ORDER","REPLACEMENT","GBP/CAD","1.75800","50000.00","Buy","","1.74500","1.75900","","","","","","","","",""
"28","2025-01-17 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","99212.20"
"","2025-01-17 10:00:00 -12","DAILY_FINANCING","Trade ID: 23","NZD/JPY","","","","","","","","0.00000","0.0000","","","","","",""
"29","2025-01-18 10:00:00 -12","DAILY_FINANCING","","","","","","","","","","0.00000","","","","0.0000","","","99212.20"
"","2025-01-18 10:00:00 -12","DAILY_FINANCING","Trade ID: 23","NZD/JPY","","","","","","","","0.00000","0.0000","","","","","",""
